id,name,username,email,university,college,location,branch,year,status,bio,skills,interests,domains,projects,hackathonsParticipated,hackathonsWon,githubStats,profileCompletion
b4c077d2-148e-42f9-bc80-1515091459a8,Arjun Sharma,arjun_sharma_91,arjun.sharma@b2b2h.com,Government College of Technology,GCT,"Coimbatore, Tamil Nadu",Computer Science Engineering,2nd Year,LOOKING_FOR_TEAM,Computer Science Engineering student at GCT passionate about Thermal Systems and Synthetic Biology.,"[""JavaScript"", ""Git"", ""C++"", ""Java"", ""PostgreSQL"", ""TypeScript"", ""Kubernetes"", ""Problem Solving""]","[""Thermal Systems"", ""Synthetic Biology"", ""Robotics"", ""Hydroponics""]","[""Logistics"", ""Mechanical""]","[{""name"": ""Microservice Telemetry Mesh"", ""desc"": ""Observability suite with metrics tracing and fault injection for web microservices."", ""tech"": [""Go"", ""Docker"", ""PostgreSQL"", ""Prometheus""], ""role"": ""Software Engineer""}, {""name"": ""Realtime Collaborative IDE"", ""desc"": ""In-browser multi-user IDE supporting live operational transformation."", ""tech"": [""TypeScript"", ""Node.js"", ""WebSockets"", ""React""], ""role"": ""Software Engineer""}, {""name"": ""Cloud Native Compiler Platform"", ""desc"": ""Distributed remote code execution engine with container sandbox isolation."", ""tech"": [""Python"", ""Docker"", ""Kubernetes"", ""React""], ""role"": ""Software Engineer""}, {""name"": ""Low-Latency Micro-Ledger"", ""desc"": ""High-throughput audit transaction engine with cryptographic proofs."", ""tech"": [""Rust"", ""PostgreSQL"", ""Docker""], ""role"": ""Software Engineer""}]",0,0,"{""repos"": 11, ""commits"": 434, ""stars"": 0, ""followers"": 22, ""following"": 49}",72
389062fe-a5c8-4f8d-ab5a-72f522fa00fa,Priya Reddy,priya_reddy_58,priya.reddy@b2b2h.com,Government College of Technology,GCT,"Coimbatore, Tamil Nadu",Computer Science Engineering,4th Year,LOOKING_FOR_MEMBERS,Building sustainable and scalable solutions in FinTech. 4th Year at GCT.,"[""Docker"", ""TypeScript"", ""Python"", ""FastAPI"", ""Java"", ""JavaScript"", ""Git"", ""Kubernetes"", ""Communication"", ""Ideation""]","[""FinTech"", ""Automation"", ""Defence"", ""Bioinformatics"", ""Quantum Computing""]","[""Aerospace"", ""Cybersecurity"", ""Logistics""]","[{""name"": ""Realtime Collaborative IDE"", ""desc"": ""In-browser multi-user IDE supporting live operational transformation."", ""tech"": [""TypeScript"", ""Node.js"", ""WebSockets"", ""React""], ""role"": ""Software Engineer""}, {""name"": ""Cloud Native Compiler Platform"", ""desc"": ""Distributed remote code execution engine with container sandbox isolation."", ""tech"": [""Python"", ""Docker"", ""Kubernetes"", ""React""], ""role"": ""Software Engineer""}]",4,1,"{""repos"": 11, ""commits"": 379, ""stars"": 43, ""followers"": 11, ""following"": 43}",78
8d64530c-b109-44d6-898f-58a15a3429d0,Tarun Sengupta,tarun_sengupta_91,tarun.sengupta@b2b2h.com,National Institute of Technology Tiruchirappalli,NIT Trichy,"Tiruchirappalli, Tamil Nadu",Computer Science Engineering,2nd Year,OPEN_TO_INVITES,"Interested in Precision Agriculture, Wearable Tech, and Nanotechnology. Active hackathon builder.","[""Python"", ""JavaScript"", ""Git"", ""React"", ""Node.js"", ""C++"", ""Docker"", ""Java"", ""Team Leadership"", ""Rapid Prototyping""]","[""Precision Agriculture"", ""Wearable Tech"", ""Nanotechnology"", ""Manufacturing"", ""Gaming"", ""Hydrology""]","[""EdTech"", ""AI/ML"", ""FinTech""]","[{""name"": ""Low-Latency Micro-Ledger"", ""desc"": ""High-throughput audit transaction engine with cryptographic proofs."", ""tech"": [""Rust"", ""PostgreSQL"", ""Docker""], ""role"": ""Software Engineer""}, {""name"": ""Microservice Telemetry Mesh"", ""desc"": ""Observability suite with metrics tracing and fault injection for web microservices."", ""tech"": [""Go"", ""Docker"", ""PostgreSQL"", ""Prometheus""], ""role"": ""Software Engineer""}, {""name"": ""Realtime Collaborative IDE"", ""desc"": ""In-browser multi-user IDE supporting live operational transformation."", ""tech"": [""TypeScript"", ""Node.js"", ""WebSockets"", ""React""], ""role"": ""Software Engineer""}, {""name"": ""Cloud Native Compiler Platform"", ""desc"": ""Distributed remote code execution engine with container sandbox isolation."", ""tech"": [""Python"", ""Docker"", ""Kubernetes"", ""React""], ""role"": ""Software Engineer""}]",1,1,"{""repos"": 28, ""commits"": 368, ""stars"": 27, ""followers"": 78, ""following"": 9}",91
dd0434a4-56fe-447b-b4a9-5d07504606b3,Meenakshi Sundaram,meenakshi_sundaram_24,meenakshi.sundaram@b2b2h.com,National Institute of Technology Tiruchirappalli,NIT Trichy,"Tiruchirappalli, Tamil Nadu",Information Technology,1st Year,LOOKING_FOR_MEMBERS,Information Technology student at NIT Trichy passionate about NLP and Embedded Systems.,"[""Python"", ""Vue.js"", ""MySQL"", ""React"", ""Angular"", ""Java"", ""MongoDB"", ""Tailwind CSS"", ""Communication""]","[""NLP"", ""Embedded Systems"", ""Avionics"", ""Artificial Intelligence"", ""High Performance Computing""]","[""Design"", ""Web"", ""FinTech""]","[{""name"": ""Peer-to-Peer Notes Sharing Network"", ""desc"": ""Decentralized file-sharing network for academic study materials."", ""tech"": [""Node.js"", ""MongoDB"", ""React""], ""role"": ""Full Stack Developer""}]",1,0,"{""repos"": 4, ""commits"": 143, ""stars"": 36, ""followers"": 12, ""following"": 10}",91
075a80d5-043a-4b43-bdea-b48fad26e8ff,Devendra Pillai,devendra_pillai_70,devendra.pillai@b2b2h.com,National Institute of Technology Tiruchirappalli,NIT Trichy,"Tiruchirappalli, Tamil Nadu",Information Technology,3rd Year,OPEN_TO_INVITES,Building sustainable and scalable solutions in Agritech. 3rd Year at NIT Trichy.,"[""AWS"", ""REST API"", ""MySQL"", ""Angular"", ""Vue.js"", ""Express.js"", ""Python"", ""Rapid Prototyping"", ""Presentation""]","[""Agritech"", ""Microelectronics"", ""Generative AI"", ""Digital Twins""]","[""IoT"", ""Logistics"", ""Web"", ""AI/ML""]","[{""name"": ""Campus Smart Resource Portal"", ""desc"": ""Centralized platform for equipment booking, library tracking, and hall scheduling."", ""tech"": [""React"", ""Express.js"", ""MongoDB"", ""Node.js""], ""role"": ""Full Stack Developer""}, {""name"": ""Peer-to-Peer Notes Sharing Network"", ""desc"": ""Decentralized file-sharing network for academic study materials."", ""tech"": [""Node.js"", ""MongoDB"", ""React""], ""role"": ""Full Stack Developer""}]",0,0,"{""repos"": 0, ""commits"": 0, ""stars"": 0, ""followers"": 0, ""following"": 0}",86
2434dd7a-db32-4b60-8025-8a694d181b79,Pooja Rao,pooja_rao_40,pooja.rao@b2b2h.com,Anna University Regional Campus,Anna University,"Chennai, Tamil Nadu",Information Technology,1st Year,IN_TEAM,"Interested in Supply Chain, Assistive Tech, and Sustainable Materials. Active hackathon builder.","[""AWS"", ""React"", ""MongoDB"", ""Angular"", ""MySQL"", ""Tailwind CSS"", ""Team Leadership"", ""Problem Solving""]","[""Supply Chain"", ""Assistive Tech"", ""Sustainable Materials"", ""Blockchain"", ""Autonomous Driving""]","[""FinTech"", ""AI/ML"", ""Civil"", ""Aerospace""]",[],3,0,"{""repos"": 9, ""commits"": 117, ""stars"": 34, ""followers"": 59, ""following"": 13}",77
c2340382-6c27-4270-9883-0b8b961fe8c0,Pranav Bhattacharya,pranav_bhattacharya_19,pranav.bhattacharya@b2b2h.com,SASTRA Deemed University,SASTRA,"Thanjavur, Tamil Nadu",Artificial Intelligence & Data Science,4th Year,OFFLINE,Artificial Intelligence & Data Science student at SASTRA passionate about Wearable Tech and Healthcare.,"[""Python"", ""Prompt Engineering"", ""Tableau"", ""R"", ""Team Leadership""]","[""Wearable Tech"", ""Healthcare"", ""Cloud Computing"", ""Bioinformatics""]","[""Civil"", ""CleanTech""]","[{""name"": ""Financial Fraud Detector"", ""desc"": ""Real-time stream transaction anomaly classification using ensemble models."", ""tech"": [""Python"", ""Scikit-Learn"", ""SQL"", ""Pandas""], ""role"": ""Data Scientist""}, {""name"": ""Automated Medical Image Classifier"", ""desc"": ""Diagnostic assistant for chest X-ray abnormalities using deep convolutional nets."", ""tech"": [""Python"", ""PyTorch"", ""OpenCV"", ""FastAPI""], ""role"": ""Data Scientist""}]",4,0,"{""repos"": 25, ""commits"": 394, ""stars"": 35, ""followers"": 64, ""following"": 14}",93
a9e6c11c-3ef9-49c5-89a2-63fe46ab235c,Shreya Varma,shreya_varma_79,shreya.varma@b2b2h.com,PSG College of Technology,PSG Tech,"Coimbatore, Tamil Nadu",Artificial Intelligence & Data Science,2nd Year,LOOKING_FOR_MEMBERS,Building sustainable and scalable solutions in High Performance Computing. 2nd Year at PSG Tech.,"[""Python"", ""SQL"", ""NLP"", ""Problem Solving""]","[""High Performance Computing"", ""Agritech"", ""Web3""]","[""FinTech"", ""IoT"", ""AI/ML""]","[{""name"": ""Financial Fraud Detector"", ""desc"": ""Real-time stream transaction anomaly classification using ensemble models."", ""tech"": [""Python"", ""Scikit-Learn"", ""SQL"", ""Pandas""], ""role"": ""Data Scientist""}, {""name"": ""Automated Medical Image Classifier"", ""desc"": ""Diagnostic assistant for chest X-ray abnormalities using deep convolutional nets."", ""tech"": [""Python"", ""PyTorch"", ""OpenCV"", ""FastAPI""], ""role"": ""Data Scientist""}, {""name"": ""Customer Churn Predictive Pipeline"", ""desc"": ""End-to-end data pipeline feeding retention forecasters."", ""tech"": [""Python"", ""Tableau"", ""SQL"", ""R""], ""role"": ""Data Scientist""}]",2,0,"{""repos"": 0, ""commits"": 0, ""stars"": 0, ""followers"": 0, ""following"": 0}",82
e74cd5e6-4aad-460f-9ec1-a6eac48a4a58,Aditya Kulkarni,aditya_kulkarni_26,aditya.kulkarni@b2b2h.com,Manipal Institute of Technology,Manipal,"Manipal, Karnataka",Artificial Intelligence & Data Science,4th Year,LOOKING_FOR_MEMBERS,"Interested in NLP, Social Impact, and Embedded Systems. Active hackathon builder.","[""Scikit-Learn"", ""R"", ""Python"", ""NLP"", ""Pandas"", ""OpenCV"", ""Prompt Engineering"", ""Tableau"", ""PyTorch"", ""TensorFlow"", ""Team Leadership"", ""Presentation""]","[""NLP"", ""Social Impact"", ""Embedded Systems"", ""Logistics"", ""Telemedicine""]","[""Product"", ""Web"", ""EV"", ""Biotech""]","[{""name"": ""Automated Medical Image Classifier"", ""desc"": ""Diagnostic assistant for chest X-ray abnormalities using deep convolutional nets."", ""tech"": [""Python"", ""PyTorch"", ""OpenCV"", ""FastAPI""], ""role"": ""Data Scientist""}, {""name"": ""Customer Churn Predictive Pipeline"", ""desc"": ""End-to-end data pipeline feeding retention forecasters."", ""tech"": [""Python"", ""Tableau"", ""SQL"", ""R""], ""role"": ""Data Scientist""}, {""name"": ""Financial Fraud Detector"", ""desc"": ""Real-time stream transaction anomaly classification using ensemble models."", ""tech"": [""Python"", ""Scikit-Learn"", ""SQL"", ""Pandas""], ""role"": ""Data Scientist""}]",2,0,"{""repos"": 0, ""commits"": 0, ""stars"": 0, ""followers"": 0, ""following"": 0}",89
88b163f6-0154-462a-85b1-8dccb2071ff2,Ritu Choudhury,ritu_choudhury_36,ritu.choudhury@b2b2h.com,Madras Institute of Technology,MIT Chennai,"Chennai, Tamil Nadu",Artificial Intelligence & Machine Learning,3rd Year,OPEN_TO_INVITES,Artificial Intelligence & Machine Learning student at MIT Chennai passionate about Micro-Mobility and Supply Chain.,"[""LlamaIndex"", ""HuggingFace"", ""LangChain"", ""Python"", ""CrewAI"", ""RAG"", ""Deep Learning"", ""Problem Solving"", ""Communication""]","[""Micro-Mobility"", ""Supply Chain"", ""Hydroponics"", ""Machine Learning"", ""ClimateTech"", ""EdTech""]","[""Healthcare"", ""AI/ML"", ""Aerospace"", ""EV""]","[{""name"": ""Agentic Research Assistant"", ""desc"": ""Autonomous multi-agent system summarizing research papers into structured graphs."", ""tech"": [""Python"", ""LangChain"", ""Agentic AI"", ""RAG"", ""CrewAI""], ""role"": ""AI Engineer""}, {""name"": ""Local Multi-Modal RAG Engine"", ""desc"": ""Privacy-focused document Q&A runner using local quantized LLMs."", ""tech"": [""Python"", ""LlamaIndex"", ""Vector Embeddings"", ""HuggingFace""], ""role"": ""AI Engineer""}]",0,0,"{""repos"": 0, ""commits"": 0, ""stars"": 0, ""followers"": 0, ""following"": 0}",98
